0,1,2,3,4,5
-5.0,0.569,0.0,3.04,2.73,0.25357142
-5.0,0.53,1.0,3.68,3.16,0.175
-5.0,0.568,0.8095238,3.99,3.17,0.175
-5.0,0.568,0.0,2.98,2.73,0.125
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.5604,0.23333329,3.99,2.853,0.325
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.5568,0.047618993,3.96,2.76,0.2325
-5.0,0.5568,0.047618993,3.96,2.76,0.2325
-5.0,0.5568,0.047618993,3.96,2.76,0.2325
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.53,0.5095238,3.69,2.9875,0.175
-5.0,0.568,0.0,2.98,2.73,0.28125
-5.0,0.569,0.0,3.04,2.73,0.25357142
-5.0,0.5604,0.23333329,3.99,2.853,0.15
-5.0,0.568,0.8095238,3.99,3.17,0.24318182
-5.0,0.568,0.0,2.98,2.73,0.28125
-5.0,0.53,0.5095238,3.69,2.9850001,0.125
-5.0,0.53,0.5095238,3.69,2.98,0.2625
-5.0,0.568,0.0,2.98,2.73,0.28125
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.5604,0.23333329,3.99,2.853,0.35
-5.0,0.5604,0.23333329,3.99,2.853,0.35
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.5604,0.23333329,3.99,2.853,0.3
-5.0,0.53,1.0,3.68,3.16,0.325
-5.0,0.569,0.0,3.04,2.73,0.125
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.5604,0.23333329,3.99,2.853,0.325
-5.0,0.5604,0.23333329,3.99,2.853,0.125
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.568,0.0,2.98,2.73,0.28125
-5.0,0.5568,0.047618993,3.96,2.76,0.2325
-5.0,0.56420004,0.6190476,4.13,3.07,0.35
-5.0,0.53,0.0,2.81,2.773,0.15
-5.0,0.53,1.0,3.68,3.16,0.125
-5.0,0.568,0.8095238,3.99,3.17,0.24318182
-5.0,0.53,0.5095238,3.69,2.98,0.2625
-5.0,0.5568,0.047618993,3.96,2.76,0.175
-5.0,0.5568,0.047618993,3.96,2.76,0.2325
-5.0,0.5568,0.047618993,3.96,2.76,0.2325
-5.0,0.5604,0.23333329,3.99,2.853,0.35
-5.0,0.53,0.5095238,3.69,2.9850001,0.325
-5.0,0.568,0.8095238,3.99,3.32,0.2375
-5.0,0.53,0.5095238,3.69,2.98,0.2625
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.56420004,0.6190476,4.13,3.07,0.23125
-5.0,0.56420004,0.6190476,4.13,3.07,0.23125
-5.0,0.53,0.0,2.81,2.773,0.325
-5.0,0.5604,0.23333329,3.99,2.853,0.3
-5.0,0.5604,0.23333329,3.99,2.853,0.22867647
-5.0,0.53,0.0,2.81,2.773,0.2
-5.0,0.569,0.0,3.04,2.73,0.325
-5.0,0.568,0.8095238,3.99,3.17,0.24318182
-5.0,0.5604,0.23333329,3.99,2.853,0.325
-5.0,0.53,0.5095238,3.69,2.98,0.2625
-5.0,0.568,0.0,2.98,2.73,0.28125
-5.0,0.569,0.0,3.04,2.73,0.25357142
-5.0,0.569,0.0,3.04,2.73,0.325
-5.0,0.568,0.0,2.98,2.73,0.175
-5.0,0.569,0.0,3.04,2.73,0.15
-5.0,0.5604,0.23333329,3.99,2.853,0.125
