0,1,2,3,4,5,6,7
0.54,0.5,0.69629633,0.26,0.5,0.0,0.53,0.22
0.313,0.38,0.5555555,0.2,0.5,0.0,0.507,0.56
0.381,0.387,0.2037037,0.2,0.5,0.0,0.55,0.22
0.54399997,0.61800003,0.5537037,0.277,0.5,0.0,0.51,0.266
0.52,0.53,0.6851852,0.69,0.5,0.0,0.5,0.251
0.35,0.46,0.60370374,0.251,1.0,0.0,0.59499997,0.35
0.792,0.742,0.24074075,0.42,0.5,0.332,0.54,0.27
0.405,0.428,0.24074075,0.192,0.5,0.0,0.51,0.268
0.32,0.32,0.5703703,0.18,0.5,0.0,0.48,0.484
0.408,0.454,0.6481482,0.249,0.5,0.05,0.48,0.319
0.47,0.57,0.5370371,0.15,0.5,0.0,0.509,0.257
0.389,0.33,0.44444442,0.22,0.5,0.0,0.41,0.264
0.46,0.44300002,0.6851852,0.1,0.5,0.0,0.48,0.22
0.643,0.584,0.37037036,0.16,0.5,0.0,0.52,0.22399999
0.49,0.45,0.61111116,0.4,0.5,0.0,0.55,0.251
0.61,0.503,0.5555556,0.211,0.5,0.0,0.506,0.22
0.44,0.5,0.6296297,0.274,0.5,0.0,0.479,0.22
0.49,0.49,0.5888889,0.2,0.5,0.0,0.52,0.24
0.504,0.44,0.6481482,0.231,0.5,0.0,0.55,0.23099999
0.47599998,0.52,0.5425926,0.22,0.5,0.0,0.495,0.266
0.503,0.5,0.2962963,0.26,0.5,0.0,0.43,0.22
0.822,0.75,0.35185185,0.28,0.5,0.0,0.53,0.22
0.41,0.46,0.50185186,0.146,0.5,0.0,0.51,0.28
0.51,0.55,0.5888889,0.243,0.5,0.0,0.5,0.22399999
0.481,0.48,0.5703704,0.29,0.5,0.0,0.54,0.24700001
0.46,0.495,0.5111111,0.395,0.5,0.0,0.46,0.22
0.49,0.49699998,0.4074074,0.56,0.5,0.0,0.36,0.27899998
0.72,0.37,0.7777778,0.187,0.7,0.0,0.601,0.229
0.47,0.5,0.37777779,0.19,0.6,0.0,0.62,0.221
0.24,0.416,0.60740745,0.16,0.5,0.0,0.51,0.288
0.51,0.53,0.5222222,0.362,0.5,0.0,0.51,0.22
0.37,0.53,0.72222227,0.19,0.5,0.5,0.42,0.397
0.45499998,0.49,0.59259254,0.417,0.5,0.0,0.422,0.5
0.55,0.5,0.8333334,0.36,0.5,0.0,0.49,0.294
0.53900003,0.46,0.61111116,0.11,0.5,0.0,0.47,0.22
0.24,0.35500002,0.6666667,0.28,0.5,0.0,0.51,0.25
0.355,0.37399998,0.3333333,0.14,0.5,0.0,0.45,0.22
0.61,0.562,0.5555556,0.26,0.5,0.0,0.515,0.268
0.4,0.56,0.59259254,0.289,0.5,0.0,0.49,0.228
0.736,0.721,0.4259259,0.26,0.5,0.0,0.54,0.22
0.5,0.477,0.7592593,0.23,0.5,0.0,0.529,0.227
0.37,0.39900002,0.5555556,0.174,0.5,0.0,0.57,0.22
0.36,0.24,0.47962964,0.318,0.5,0.0,0.51,0.471
0.43,0.51199996,0.4888889,0.16,0.5,0.0,0.486,0.425
0.45,0.508,0.6481482,0.322,0.5,0.0,0.47,0.26999998
0.606,0.67,0.33888888,0.336,0.5,0.0,0.522,0.24700001
