0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
22398.418,145740.81,14218.32,13812.477,13380.923,264806.3,11913.418,377041.1,-1255648.6,-762171.4,-45744.23,690544.06,1147614.4,16224.291,-906290.25,8475.7,7704.822,492686.2,10304.466,9760.857,10391.021,13819.916,129664.92,767664.75,11940.212,7466.0493,7514.8594,10121.192,11901.368,12726.07,13764.068,9451.437,11949.172,14350.09,-399205.5,-1179282.0,1097517.4,15951.831,-37068.754,891046.06,-21285.23,8568.308,262693.56,16208.552,-442154.88,11275.88,19126.96,185970.38,-326496.25,460347.44,18013.11,22120.7,18333.26,574143.1,584013.6,594257.6,-46219.523,18330.65,246939.22,-1160777.6
7666.9077,9551.126,6464.827,-357709.5,7339.549,-396321.84,7569.6533,6374.594,6792.0366,7693.8936,6926.8853,5291.9224,5297.9214,-1255162.8,-359702.03,-771459.5,3552.7039,433554.38,-128160.87,5794.5894,4105.89,5670.101,-818739.9,-555830.94,202806.8,-37755.652,904400.06,-1299613.1,-232909.75,5680.3223,-880444.94,6758.2344,-1251194.2,5974.598,4721.12,4667.6807,5776.263,6871.685,6616.973,6882.3804,-1925131.2,369599.6,6116.56,-1048855.0,7359.59,6747.3477,-272283.22,7732.1553,5605.349,7827.788,520119.62,7035.5425,6687.355,6860.13,8194.156,8583.1,6690.707,6385.8525,5816.4346,7992.248
-96862.91,13494.748,13282.123,12741.822,353636.22,12260.259,952257.44,-65204.227,585620.0,312489.44,183248.2,686826.44,9219.624,296704.12,9031.578,764190.94,238825.56,-816641.0,1207027.8,1014363.9,135150.22,229089.73,459703.47,1228809.1,7765.549,24422.21,8528.323,9609.5,6417.477,277928.44,7361.996,10950.759,10528.016,11405.413,8051.5645,10313.291,10952.309,9575.812,10362.428,32914.04,9907.915,15901.088,-824729.44,13246.878,14586.958,13376.577,-640143.8,42554.42,-1467167.2,1645558.4,15094.089,-142299.58,14999.769,214971.73,16310.144,11835.71,15060.155,423178.88,341271.0,13972.32
49744.137,-917547.5,146452.56,-1004236.94,3505.5227,2883.853,2466.2935,-16866.799,42709.5,88827.23,1895.9635,2815.7498,-248314.23,2530.4438,1911.9863,1653.2432,1483.0675,1305.7833,2067.525,2046.3636,1698.54,1665.1907,1641.959,1108236.5,1282.7528,1736.7711,1244.8394,-654379.6,1997.0762,2316.988,2317.3213,2331.894,-58514.93,-46980.68,-219549.73,2258.8804,2102.365,2357.5422,2874.728,-583845.2,-555233.4,2487.3848,2208.1387,2788.7927,-7676.453,532130.8,663199.0,2223.4792,-319917.97,327280.94,399943.78,-459305.2,-512063.38,2725.4875,-172229.19,3046.6587,259350.75,157746.38,3521.7056,50132.8
784969.56,216721.75,1226648.0,8388.976,7519.822,8916.736,7390.9097,-330076.9,420183.16,7228.541,-532068.75,6972.8384,5846.987,6016.016,6605.974,6822.084,4460.9453,3803.5024,5194.2427,6466.3247,5088.5293,5452.596,-11332.038,155158.86,823423.7,-612283.6,4588.9834,-928826.25,4157.903,4158.232,5440.6646,-920056.1,1107703.4,5977.642,5214.111,5831.9834,-396308.97,6822.637,10293.614,-594961.75,546143.0,341116.22,737422.2,-1097288.0,8415.63,-583367.94,9964.832,7798.83,8632.725,278141.3,6282.7153,218179.53,39296.477,-245717.44,8359.188,6329.5728,2250971.0,1105657.0,9127.421,9908.968
18791.178,-535485.5,-2103661.8,1574166.5,11221.623,14312.637,13059.034,14228.672,15847.104,13031.996,14580.966,918752.7,10599.273,-606520.94,10462.7705,-427163.62,-452809.38,-204276.14,-1521872.9,-886254.7,93869.52,-241758.64,8870.298,11458.542,152950.36,-202674.78,10059.254,12011.844,6344.8516,543749.1,8447.781,-96359.07,11404.894,11919.982,507657.1,409454.44,15794.193,10998.116,13855.844,11234.471,15012.079,-1206734.2,12514.403,519352.12,337973.75,-377503.34,14569.902,1288862.6,17487.395,15478.412,13767.388,-1926828.1,11464.084,401222.44,16334.156,1595600.2,1033440.06,22601.145,1160768.9,410783.4
81529.03,876707.5,60711.617,-421514.2,-410001.84,57987.37,801644.3,66962.41,181469.89,72263.625,56562.71,62882.188,647536.94,791094.5,-735141.7,802288.7,-556534.1,163407.97,-471434.06,-121586.34,43176.61,39658.844,30967.354,32139.496,44568.055,40039.46,48669.453,42930.14,-720568.44,41292.74,46273.83,37140.484,-54893.94,894829.06,946478.4,45440.01,35789.777,59304.203,58058.05,48977.668,-203516.42,-934797.6,68266.375,325651.25,53335.195,72756.484,1224199.4,1673409.0,1683142.8,1012981.4,62001.344,48690.77,760976.5,-140320.34,58991.758,66867.83,739489.7,50102.203,80765.33,-567232.44
79189.445,434985.53,-392971.06,65547.82,53054.0,1487418.9,60503.438,54618.438,76844.15,279182.16,52634.73,1915022.8,45572.973,37128.73,-18107.201,255788.03,29243.012,30457.568,-245651.81,-861111.25,-855369.1,1137171.5,257669.5,40685.824,32603.277,38080.555,47591.13,31509.277,1041322.8,-494784.22,41459.246,42465.473,49369.273,38814.42,-1305657.9,2321115.8,2643053.8,1383532.6,1791877.4,2132595.2,2077890.2,244517.75,-1255370.4,201214.62,563681.75,1358831.0,84739.32,-310473.5,-289315.44,56882.363,1398121.1,-563655.0,20470.35,2863529.2,56192.703,1850069.0,1547668.1,514624.62,662668.8,651769.7
257734.94,-571640.56,24253.703,23989.582,23236.998,20492.322,30022.494,-295712.2,-598777.5,26495.799,26898.885,-883133.25,-320645.25,39090.957,17663.977,17406.193,17678.227,16718.588,18715.035,18150.094,16235.706,18510.824,18525.418,12491.604,385973.22,502264.94,15459.031,-336861.0,-376273.94,1373248.9,127387.914,129107.73,-1272721.8,15111.387,20335.785,15749.667,19884.639,909170.0,21485.652,20285.543,22726.002,511636.94,-1655794.9,32126.97,27807.209,28772.584,1362433.6,23030.922,27234.895,23678.947,-659636.94,749497.9,291276.84,-1009692.0,-53716.348,20962.203,583673.6,30288.424,30220.531,2086091.0
-290736.12,23900.088,23371.746,-763570.7,23467.193,-508461.12,21355.357,24375.406,20576.635,25367.365,-712066.4,343254.7,22081.63,19186.455,21176.572,16794.7,13157.511,16017.7,16072.626,19812.982,17745.742,-284536.44,-608447.94,29150.736,251765.39,17287.463,15251.303,1601835.2,13912.731,16267.565,383670.5,124085.766,82835.08,589167.8,-438995.22,15553.134,-247031.83,24736.494,1386463.6,-866442.4,23258.436,-581112.0,26040.547,19621.625,52609.812,22227.736,-72066.95,19933.072,26447.994,830606.5,24296.271,22749.99,-431091.8,24472.25,24974.287,331631.78,1841752.6,26249.342,22742.762,26491.953
8645.332,7591.8394,7792.27,53145.69,834536.4,4132.1235,6280.9653,6394.734,4725.7812,363404.97,572978.25,612208.6,-240757.42,5039.824,4476.6646,3413.1614,-296470.28,1065090.4,949084.94,420286.16,878284.3,545317.5,1098152.9,1369964.6,1370229.0,2426.061,113825.125,3365.4685,3217.3022,3441.4792,3245.0935,30270.61,412724.38,775683.7,4489.552,4100.426,750146.25,438633.25,1427589.8,879896.4,4486.7026,4285.496,5562.6865,-336870.97,246565.48,842696.0,243363.97,4699.0933,4132.328,5429.53,-219620.98,208898.48,-543086.2,615811.7,6748.029,1715341.6,6437.1787,566772.7,266791.53,504143.06
39512.44,-1097983.8,36164.605,38186.996,-133916.66,28243.855,19180.908,450934.2,133990.27,562994.5,-393272.62,436225.34,643112.9,-31309.586,904948.5,839574.0,936159.8,-130310.49,77512.05,1475166.9,841401.1,108792.664,87168.6,250184.62,1961235.9,2168872.2,1636350.5,27944.28,362977.7,-879318.56,19335.12,1099889.8,28094.125,23283.273,21111.434,21606.86,25387.91,27302.78,26870.139,28698.139,23511.592,27679.361,29079.656,573426.6,2008167.0,42531.027,26928.893,30879.65,83212.88,29384.895,1843738.1,30575.547,31503.771,40123.24,1322702.9,-153792.58,32427.354,944771.75,-586819.25,1560519.8
-87430.766,31616.22,320595.34,893688.3,-527022.94,-46676.625,24521.248,1367053.8,32872.348,32373.941,24431.135,46189.293,-261020.62,21311.643,28810.252,-783237.6,19989.574,-787254.2,397410.94,507021.0,437171.66,-291069.88,19255.215,17123.371,-177346.62,438292.6,15422.819,14013.166,21210.045,-551107.94,-1101889.6,-620228.3,24774.152,28544.281,21506.81,1726006.6,25976.549,28085.207,20774.389,30668.95,28854.879,-1867771.4,35892.832,904944.8,30641.652,927057.44,31092.635,1476221.2,29681.898,26414.723,25558.855,32722.184,24805.719,194304.03,26853.652,1676761.2,28023.625,2153584.8,274931.22,181329.55
3606.7646,640557.06,670594.44,333113.56,2804.0972,2663.0215,2231.2585,204136.02,-1490394.2,2599.8845,2887.9387,594475.5,857683.6,275141.84,357217.34,221665.72,1600.1145,1570.6692,1823.5186,1674.5631,1670.8525,523786.1,1395.2343,1251.4185,1689.0101,1759.3302,1645.2206,1443.3749,1354.784,656252.94,1590.0021,2187.423,1663.3798,1709.9424,2022.9396,-333824.34,-1471878.9,322695.06,2522.8525,-1289776.6,2492.4312,-212136.31,134579.97,-767026.6,1311584.6,466006.88,223402.58,418641.38,903754.1,541198.44,91738.93,-355929.7,-284572.7,-52163.53,3113.8638,3723.9,1280955.9,-409511.44,726848.56,413932.0
28192.023,-422924.03,623320.2,-291806.5,1356619.9,28991.418,22871.72,-224005.38,25532.037,21963.883,566062.0,20329.357,19038.188,25270.05,365417.2,16304.529,14924.308,-393837.8,17538.89,16032.215,-137619.84,18980.158,15337.09,331254.47,17198.787,1209778.1,449120.12,15491.816,21538.645,20437.797,18485.32,25720.51,-946675.1,721281.3,191750.48,18860.25,272983.4,200125.81,23977.03,21983.219,24650.684,404856.72,24188.625,-12708.374,-514846.1,36176.848,-368720.56,640519.56,25849.29,25356.992,23917.09,28046.406,25162.0,-361968.28,26052.342,-123881.47,-354829.34,24094.936,26788.217,22135.568
-488007.7,1182117.6,10888.111,116784.016,2003183.6,1249374.6,1721801.0,1412890.4,2462548.2,1575266.5,975322.3,2391939.2,1547833.6,8029.229,7621.284,4229.9316,-267079.1,1707182.4,1277129.2,1455137.0,1030970.0,811621.4,4127.06,4371.745,3227.4646,-192377.16,1370316.2,5088.385,487723.94,667615.94,252339.2,323085.94,628843.56,421987.25,1051085.2,449420.75,889355.25,2617689.8,1079862.4,626417.44,1319324.2,8884.527,-211952.52,-292278.94,1287825.8,1201204.5,1682445.6,682092.9,8106.5845,1654634.9,396239.1,924860.8,745530.75,1755037.2,1891706.8,2175004.0,14788.465,14713.324,9241.073,536514.3
17385.207,30991.957,23035.656,12355.783,-27501.467,1094200.0,15661.515,1236438.0,-77163.04,17343.832,98355.375,19556.785,13855.729,22193.367,17085.88,8369.407,12654.859,6816.2363,8854.329,13609.605,-296559.1,850939.56,11504.652,8492.323,1713774.1,757144.2,2151692.2,1937120.9,1650981.2,807.4435,405489.16,295950.38,-105947.86,-510006.7,-127853.914,-790217.4,16104.244,-313882.6,-527658.9,-899695.6,-236079.17,-473696.94,15627.55,1539249.1,-139017.61,251585.86,586779.5,1372973.6,202389.48,1614006.8,17553.766,-368339.62,18951.453,13947.355,14653.816,1339495.2,709814.2,1620862.5,16604.543,953799.0
1765885.9,778069.5,21222.25,22237.557,183133.47,19478.87,1753650.9,231501.9,965294.6,1471982.9,1102893.6,2032818.8,122459.58,-370623.75,13706.539,10360.051,194806.6,8872.784,16174.387,1943442.5,12072.098,13284.549,11174.039,11744.114,11126.999,-4645.9443,1088304.8,11198.956,333140.66,-1219326.6,-712677.7,-579705.8,15753.479,-767845.1,-393739.4,652279.3,-520926.6,17764.605,20509.95,19640.062,18327.37,586634.7,1162150.0,633359.2,2049131.5,1174766.9,1363830.2,950367.4,2014754.6,1282531.6,20896.406,-993109.8,301253.8,-249354.98,21604.537,1033417.7,18526.143,558038.2,18650.309,1260394.2
