0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.82713985,-5839575.5,-6627053.0,-6967576.0,-6754145.0,-6054955.5,-6084480.0,-4158242.2,-0.4934564,-5062316.0,-0.43699074,-0.42281583,-0.36643323,-3264595.5,-4551245.0,-1962758.4,-2869812.8,-2068649.1,-3722782.0,-1959818.2,-3143973.0,-3603151.8,-0.16948582,-0.12842213,-0.24689358,-0.1444517,-0.13201042,-0.12728041,-0.15573442,-0.22113663,-0.2643278,-2658298.8,-2102473.8,-3604780.2,-3725832.8,-5060479.0,-3102430.5,-3696824.2,-3530819.0,-2642608.2,-4685073.0,-4366510.0,-0.44759637,-3729399.0,-5306527.0,-4737680.5,-5451179.0,-0.66476136,-8086828.0,-7021847.0,-6746291.0,-8219935.0,-10040912.0,-9625558.0,-0.94383276,-9546996.0,-0.9470743,-7978173.0,-9722878.0,-10625893.0
-0.86789095,-5667123.5,-0.8180266,-0.75224257,-4255681.0,-0.64281577,-4857960.0,-1423832.8,-0.5263535,-0.46761695,-3517915.5,-3962661.2,-4269316.0,-3551716.2,-0.35414293,-0.31024313,-4311379.5,-1896798.9,-1711881.5,-0.2526851,-1468577.9,-2363673.2,-3369445.5,-2806329.5,-2035602.5,-2215182.5,-908087.25,-2553568.2,-1361005.6,-1939653.9,-2997902.0,-3295993.8,-0.32284126,-0.29972416,-0.33051062,-0.33494258,-0.33799097,-1867316.9,-0.34111273,-0.36041835,-0.4266397,-2602563.2,-3030371.0,-0.4928652,-0.49868646,-3626409.5,-0.5770047,-0.69953626,-4515610.5,-0.9241211,-0.92154837,-5960262.0,-9131920.0,-7611160.5,-0.95588994,-7429342.0,-0.95565146,-0.9595073,-0.9589955,-5302963.0
-0.8576343,-0.8333249,-6493449.5,-6445581.0,-5256619.0,-5391150.5,-4014929.0,-4782553.5,-4942701.5,-3988966.0,-4271395.5,-4037750.2,-2966371.2,-0.3735401,-3737478.8,-2060439.4,-2068328.8,-3842432.2,-2417262.8,-1654445.1,-2706542.2,-2470460.2,-2257555.5,-1465801.2,-1206179.5,-0.21147214,-1369522.5,-1196233.1,-1528397.2,-0.2039871,-0.26515144,-0.30866265,-0.2970058,-1971613.6,-0.30209368,-0.33956334,-0.37646666,-0.3568718,-0.3625403,-0.3703037,-2609216.5,-4042643.2,-0.51289,-0.51825225,-0.5046497,-0.5211952,-0.57915473,-0.7017994,-0.86308134,-5935574.0,-6838678.0,-7741418.0,-0.95784605,-8515229.0,-8915625.0,-0.996139,-7469962.0,-0.97238034,-0.96920776,-0.95504445
-8284375.5,-9820052.0,-9227500.0,-9654393.0,-7137355.5,-8955768.0,-7659042.5,-7224412.0,-6532861.5,-6071738.0,-6781679.0,-6868238.5,-5818553.0,-4421991.0,-4871509.0,-1695859.1,-3752647.5,-2915478.8,-4608160.5,-4390377.5,-3315174.5,-2015977.6,-948229.9,-0.11811266,-0.19302075,-1768618.6,-1670956.8,-0.14140111,-1174321.9,-2420832.8,-4500733.0,-3383805.2,-4062971.8,-4719021.5,-4887482.0,-3668159.8,-4484024.5,-5688369.0,-6126915.0,-5443073.0,-5572641.5,-5765258.0,-7359115.5,-7985095.5,-6860399.5,-7517914.5,-7965612.5,-8385513.0,-11033037.0,-10296572.0,-10987652.0,-11500099.0,-12624499.0,-12044708.0,-12644831.0,-11822406.0,-11054514.0,-0.925024,-12412098.0,-11108337.0
-0.84643763,-0.83061475,-5346610.0,-4932461.0,-4937980.5,-0.6466433,-0.6019985,-0.5815724,-4191684.5,-4851485.0,-0.44868502,-0.4059126,-0.379793,-3167201.2,-0.3202715,-1364955.8,-0.3184112,-0.28849304,-0.31811798,-0.24345629,-0.21209717,-0.2063132,-1400889.8,-1719987.5,-1819949.6,-3281719.0,-820227.8,-0.11761737,-0.15767796,-0.18829611,-2298540.8,-3916580.5,-1316039.8,-3360344.5,-2998286.8,-4054337.8,-4305222.5,-2534139.2,-2731939.8,-2456298.2,-2817369.0,-4201280.5,-3564350.8,-5361763.0,-2764911.0,-5307134.0,-4127392.5,-5343001.5,-6354816.0,-0.8817318,-8546955.0,-7937528.0,-9565229.0,-0.95369774,-0.95070034,-7939449.5,-6353673.5,-7506796.0,-0.941251,-0.958459
-7592230.0,-7317846.5,-8943282.0,-6848256.0,-6288561.5,-6969982.5,-5689161.5,-5190255.5,-4957888.0,-4529080.0,-5778984.0,-5183476.0,-4737910.5,-5228991.0,-3984875.5,-3452096.2,-4055564.2,-3330151.2,-4449351.5,-2901807.2,-2137784.5,-2505393.2,-1914447.5,-2405957.8,-0.17088988,-0.12727635,-0.12916152,-0.115946844,-2271949.2,-0.20653093,-0.25202826,-0.3118827,-2939878.2,-3333124.2,-3418220.0,-3772911.5,-4628562.0,-4724631.5,-3266545.5,-4012897.2,-4392700.0,-0.46229684,-5490156.5,-5325337.5,-5422227.0,-0.5072894,-0.56002057,-0.64379466,-7489412.0,-9077105.0,-0.8731046,-11622517.0,-11118081.0,-10762703.0,-10194689.0,-9070903.0,-9274742.0,-10935195.0,-9070552.0,-9886417.0
-5842702.5,-5886317.0,-5708116.0,-5676038.0,-5668926.5,-5468698.5,-0.6242882,-3774019.2,-0.5025234,-3107921.5,-4922507.0,-0.4154689,-0.39424548,-0.36741033,-0.34710234,-193422.61,-0.28894305,-0.30636626,-1599602.5,-1134330.4,-0.21474706,-0.1702796,-209051.14,-0.13305701,-0.20782617,-0.15848559,-0.14590855,-665234.06,-0.14604574,-1060503.2,-3632578.8,-2105027.5,-2882098.0,-3628450.2,-2510648.5,-1643540.9,-2437450.0,-3240060.0,-2366232.2,-2227030.5,-0.3934634,-3922540.5,-3722419.8,-0.49152812,-4361134.0,-3795290.5,-0.57160753,-0.70443714,-0.84467953,-0.92011374,-6310062.5,-0.9392232,-8472691.0,-0.97115165,-9142336.0,-8527780.0,-0.9670394,-8434836.0,-7452889.5,-8175879.5
-0.8362265,-0.82926726,-0.78893423,-5928475.5,-6445537.0,-6213525.0,-5355796.5,-4714651.5,-3421642.0,-0.46472555,-4308591.5,-0.4284423,-4609213.0,-3641985.5,-4352965.0,-2944418.5,-2154644.0,-2631315.2,-2353446.5,-2521446.5,-2211500.8,-0.17785391,-0.16484128,-0.19835058,-0.1725702,-0.17270672,-814632.7,-0.092316926,-0.14180039,-0.20080507,-2888288.8,-2687774.2,-3360823.0,-3452519.2,-5231338.5,-2082194.9,-2908991.5,-3551783.5,-2548179.5,-2850562.0,-4160044.5,-4749922.5,-0.4911771,-0.49079525,-4927430.0,-0.52705526,-4478123.0,-7132094.0,-0.82142526,-0.900083,-0.94423133,-9595095.0,-11084571.0,-8548420.0,-8796710.0,-8427648.0,-8959758.0,-10206777.0,-9849127.0,-8129129.5
-0.88233197,-0.85078526,-4227284.0,-0.76022536,-0.7100567,-4749218.0,-3334427.5,-0.5790499,-0.5366869,-0.47884095,-0.4701011,-0.43488476,-3488967.2,-0.40363237,-0.35168847,-0.34086123,-0.301851,-0.33923534,-0.29146254,-0.27265885,-0.24769264,-0.17072235,-946006.8,-243934.75,-0.17170611,-166823.47,-925463.94,-1759023.8,-1842326.4,-1556004.1,-1852522.8,-0.3138903,-2869387.0,-0.2769,-0.3304975,-0.3344786,-0.38425395,-2358549.2,-0.37836936,-0.37232745,-0.43553886,-0.44458696,-0.49492946,-0.51326406,-1823090.2,-1919234.5,-2120356.5,-4551551.5,-3853080.8,-5512925.0,-6409785.0,-0.94150656,-0.9511692,-7359529.0,-0.9547822,-7076314.0,-6742952.0,-7368513.5,-5361141.0,-4883055.5
-5803894.0,-4899456.0,-5756738.0,-0.77042115,-4423981.5,-0.66206205,-3187842.2,-0.54621726,-4428543.0,-5548011.0,-0.45109364,-4011286.5,-4954463.5,-0.36394274,-1773761.4,-0.3471942,-0.313567,-0.3025646,-0.32527575,-1275227.1,-1814133.8,-0.20520164,-0.12342579,-0.19627668,-0.16413446,-1250482.8,-1888859.5,-204842.0,-1588631.8,-2025512.6,-1759234.4,-2432090.5,-2652795.2,-3566782.2,-0.30985665,-0.33154783,-0.37865803,-1816491.0,-2362864.0,-0.40510896,-1610984.4,-2908588.0,-2791740.8,-2932818.0,-0.49759483,-2585543.8,-0.5854207,-0.71735996,-0.85541373,-6044023.0,-6507867.0,-8822428.0,-8248459.0,-8025032.5,-8332391.5,-0.97388345,-0.959398,-0.95521885,-0.9510946,-0.95898885
-10887983.0,-8976298.0,-9587133.0,-9635342.0,-8822845.0,-9843863.0,-9457562.0,-7741844.0,-5783557.0,-6249785.0,-6937749.5,-7085388.0,-7481251.0,-6102934.0,-5506610.0,-5038104.0,-4181028.8,-3537028.8,-4581543.5,-4254156.0,-2586968.8,-3582843.8,-2771359.5,-1418403.4,-1034154.2,-0.1604473,-1423345.9,-513217.62,-877582.1,-2909370.2,-4050780.8,-5040878.5,-4555555.5,-3924343.5,-4878094.0,-3686597.8,-6052345.5,-7222815.0,-5851888.5,-5385450.0,-5331386.5,-7165463.5,-8011648.5,-8334611.0,-7671773.0,-7745506.5,-10156004.0,-9589775.0,-10354175.0,-11514655.0,-11860711.0,-12526110.0,-12949337.0,-12103555.0,-12726554.0,-11600875.0,-13133599.0,-11869802.0,-12737014.0,-11576399.0
-5786150.5,-6175772.5,-6254439.5,-5698274.5,-0.6998411,-0.6604461,-0.6416025,-4302421.5,-5300404.0,-3789704.0,-5090468.5,-0.44112274,-3343077.5,-3727936.2,-2857793.5,-1885836.2,-1752839.1,-2883272.8,-2534627.5,-2053722.8,-2319981.8,-3519466.0,-3049021.0,-2887332.0,-2268178.2,-1921897.0,-96880.72,-1010293.56,-0.1547956,-2465536.2,-3025420.8,-0.28649697,-0.26306847,-0.2650051,-0.29120404,-2039987.5,-0.39106748,-0.40490833,-0.37996212,-0.37486652,-0.3937693,-3059447.5,-2750195.2,-0.50067943,-0.4959957,-3912561.2,-4927187.0,-5183747.5,-0.83931303,-7093270.5,-5804950.5,-7722651.5,-0.9719215,-0.9635388,-8244384.5,-0.97984743,-0.979874,-0.9690591,-0.9688765,-0.9577051
-7351580.0,-6848190.0,-6911726.0,-0.72511727,-6649363.5,-0.63410044,-6287141.0,-4192264.0,-4265002.0,-5305873.5,-5608410.5,-0.41961232,-5083287.0,-4150952.2,-2990224.0,-4144591.5,-2690021.2,-3761494.0,-2656742.0,-2242151.0,-1887824.2,-2762734.2,-1947766.8,-2213101.8,-0.20440122,-908168.5,-0.1268352,-0.10177946,-0.12293712,-0.18806927,-0.28479317,-0.2575799,-4019438.0,-3248807.2,-3005898.8,-2617035.0,-4168561.8,-4091298.0,-4355151.0,-4215124.0,-4078296.8,-0.4333254,-3957530.5,-5023154.0,-5150562.0,-0.48885867,-0.5398117,-0.6706704,-8152970.5,-8061117.0,-9284118.0,-9689491.0,-9739165.0,-10758529.0,-10544048.0,-8970673.0,-9030612.0,-8377919.5,-10886017.0,-0.9050194
-6372877.0,-6426217.5,-6413098.5,-6873643.0,-6309011.5,-7006842.5,-6154013.5,-5439325.0,-0.48231235,-4649570.0,-5455213.0,-5037685.0,-4692578.5,-4440374.5,-3097396.5,-3281005.8,-3123588.2,-2438042.0,-2876539.0,-3649184.2,-2596269.0,-0.18039969,-0.1125918,-0.1620832,-0.21744828,-0.13577028,-0.14465187,-0.12042851,221187.66,-957743.5,-0.2780841,-1724907.9,-0.2714823,-0.24118108,-0.27210125,-2965219.5,-0.32325923,-0.32759598,-4157485.0,-4227262.0,-4818752.0,-5681829.0,-5427255.0,-6285672.0,-4329543.0,-6225209.0,-6595734.5,-6929122.0,-8083370.0,-8217970.5,-8788615.0,-10181763.0,-10321849.0,-0.9174807,-11099480.0,-9282804.0,-8133419.0,-10103335.0,-8617345.0,-8540151.0
-5706519.0,-0.8487905,-5459064.0,-0.7609763,-4388114.0,-4882182.0,-0.6076716,-0.5678078,-4817165.5,-3351708.0,-4933479.0,-3918137.2,-4272204.5,-2316286.0,-2835129.0,-2334824.5,-2211156.2,-0.2850371,-0.29325616,-0.23494399,-0.22631931,-0.18132386,-0.11991894,-0.14785783,-992466.56,-2047567.2,-2311184.0,-985321.44,-1037703.0,-1532291.9,427355.62,-0.30611685,-0.2981238,-0.32383442,-1430905.9,-0.28391004,-3044581.2,-2187776.5,-0.34463274,-0.38111845,-2450975.8,-3415422.2,-4143708.2,-0.50208944,-4008553.2,-0.5342231,-5238080.5,-5894911.0,-6540463.0,-0.91750294,-0.9119205,-0.9276869,-0.9335863,-0.9474795,-8622429.0,-8094189.5,-0.9602324,-7376330.5,-7878849.5,-0.9469259
-9109346.0,-8423450.0,-8586391.0,-8879681.0,-7172069.5,-7353075.5,-7932301.0,-6309795.5,-3988734.2,-5207459.5,-5962465.0,-5628054.0,-5688397.5,-3794447.0,-2584328.8,-3253167.5,-4143820.8,-2931376.8,-4474675.5,-3137816.8,-3845737.8,-3775742.0,-2679834.0,-2789327.5,-1609191.0,-2602308.0,-0.11746131,-761510.8,-0.13515095,-0.23446389,-2862488.2,-3469801.0,-3237010.0,-3241961.5,-0.22355708,-0.24671769,-5449174.5,-3850272.8,-5507730.5,-5255486.5,-4915753.5,-6100032.5,-0.4776694,-0.5117765,-5929673.0,-6852445.0,-7541128.0,-9278475.0,-9125345.0,-8759180.0,-0.87721556,-0.90472245,-0.9124825,-11490917.0,-10124759.0,-10544022.0,-12150783.0,-0.9239643,-10867307.0,-10067966.0
-6686811.5,-6805446.5,-6405841.5,-5300592.0,-0.68866885,-4601385.5,-4915521.5,-0.5236931,-5079960.5,-3438287.0,-0.426222,-0.41684034,-0.4326868,-2666716.8,-0.35006815,-0.29453856,-0.24806683,-0.35070094,-2025526.0,-0.25824752,-0.21961662,-0.16658592,-2209863.8,-838328.2,-1357106.6,-3273747.5,-2662504.8,-2275370.8,-1672635.1,-3593849.2,-3030388.5,-0.28528422,-0.2615176,-0.27604336,-0.260677,-0.288425,-3139199.5,-0.38058618,-0.35530743,-3533331.0,-5186927.5,-3868315.8,-3359003.2,-3592197.8,-4809433.5,-5345282.0,-5260028.5,-5435204.0,-7870632.0,-6842662.0,-8994496.0,-8930013.0,-9143466.0,-0.95307857,-8167826.5,-0.94484264,-8007420.5,-0.9400788,-7607617.0,-7512983.0
-6501139.5,-7802311.0,-7563400.5,-7017909.5,-7444946.5,-7809638.5,-4758787.5,-5637771.5,-4594089.0,-3712407.8,-4795078.5,-3832814.8,-5882720.0,-4948785.0,-3101593.5,-2200407.2,-0.28561252,-2509914.5,-2636699.2,-1167950.9,-1324165.9,-3108214.0,-2202613.8,-2274849.2,-1627566.8,-0.20202987,-0.13432334,-2539059.8,-2341351.0,-4218246.0,-4310049.0,-0.3101814,-3575551.2,-0.27553847,-0.25304857,-0.3058644,-0.33071515,-0.35621464,-2379909.2,-0.32497722,-0.38558477,-0.41991553,-0.4472541,-5639147.0,-4751639.0,-5705286.0,-6368898.5,-7258741.0,-7195273.5,-8217766.5,-9932590.0,-10901081.0,-11299134.0,-11093582.0,-0.942616,-9721109.0,-9665237.0,-9813380.0,-8659724.0,-8478367.0
-4627861.5,-5691006.0,-3435896.5,-0.7742692,-0.69316095,-0.6736043,-1968603.0,-4878462.0,-4222634.0,-3959415.0,-3794844.8,-3901398.8,-0.39728886,-2342132.2,-0.35480937,-432772.28,-0.30169776,-960463.94,-0.29081398,-0.25542834,-0.2262804,-0.1960429,-0.15185039,-0.16296272,-0.23918185,-1436914.8,-1059443.0,-3206476.0,-2079500.2,-3400814.0,-2138545.2,-0.30694717,-0.2850585,-1840977.0,-0.3034467,-0.31245172,-1420282.9,-0.36962932,-0.36468068,-2224052.2,-0.4264726,-0.44846886,-0.46622172,-0.49414876,-0.47851694,-0.5099765,-3416295.5,-4403440.5,-4760145.5,-5648914.0,-7437148.5,-0.9315813,-0.95456696,-6953776.0,-7167989.5,-0.96530646,-0.9840267,-0.9537263,-7462361.5,-7200827.0
-6399524.5,-5981468.5,-5753038.0,-7951229.5,-6040135.5,-5972605.5,-5965207.0,-6393891.0,-5781916.0,-5974975.5,-0.3883505,-6052450.0,-3357318.0,-3742325.0,-3842394.8,-2036854.5,-3357016.2,-1909976.0,-782301.2,-2513956.0,-0.17907743,-2257810.5,-0.16940911,-1071778.5,-0.16741072,-0.17227729,247914.4,-0.1140822,-0.16172108,-3176810.0,-2649741.2,-3173133.5,-0.27231336,-0.26900503,-1549934.4,-0.28722748,-0.33082283,-0.38517672,-2771613.8,-3282168.8,-4209739.5,-3598993.8,-0.46758702,-3939248.5,-0.47283426,-4139525.5,-5723455.0,-6943964.0,-7428363.5,-8429928.0,-8793583.0,-9127924.0,-9448930.0,-10409718.0,-10450858.0,-8868274.0,-8788235.0,-9229853.0,-10171246.0,-9481287.0
-5310666.5,-0.7961612,-0.8085124,-5858043.5,-5310110.0,-5487360.0,-0.598552,-0.55448776,-0.49594077,-0.4753397,-2934394.0,-0.4406766,-0.39651185,-0.37159893,-0.2950243,-0.3244747,-0.32535934,-0.3024109,-2350284.0,-1083631.6,-1527726.9,-3236002.8,-1241338.0,-2206468.5,-1090775.5,-2874099.0,-1097737.4,-0.13424177,-0.18192245,-2440779.8,-1340682.1,-0.325774,-2443505.8,-3189728.5,-2523666.0,-0.30254188,-0.342329,-0.3931674,-2185313.0,-1862167.1,-3453421.5,-3162173.5,-3833348.5,-4370476.5,-3850418.2,-5059030.0,-5182879.5,-6127046.5,-6228596.0,-6280934.5,-0.93392825,-8796566.0,-8695291.0,-0.9449805,-8471161.0,-9024297.0,-0.9736533,-7963511.0,-0.94372886,-0.97828895
-0.86899626,-6179449.0,-0.8053984,-4535150.0,-0.6936546,-5130871.0,-5523235.5,-4509669.5,-5239259.5,-0.49133456,-0.44974262,-0.4459631,-0.421822,-0.37425393,-2329091.8,-0.32698146,-0.28967506,-0.31131104,-599360.3,-2062651.0,-2044306.2,-1711927.4,-1402829.2,-2196555.5,-2543811.8,-3469092.8,-2110771.0,-1738775.6,-1755038.5,-1943493.9,-3170161.0,-2813886.2,-1620269.8,-0.3084001,-0.27449587,-2512167.8,-2737455.2,-3640307.0,-0.38443837,-3517006.2,-4270675.0,-4212756.0,-3476796.2,-4055962.2,-3676627.2,-5370639.5,-0.57748204,-0.7464456,-0.83672047,-0.9247808,-0.90964806,-0.93668056,-0.9584996,-8984544.0,-0.9521073,-8045348.5,-6816813.0,-0.95885295,-8782807.0,-0.97155136
-7529614.0,-6703644.5,-6388975.0,-7574774.5,-7515848.0,-8186432.0,-5479139.5,-6688776.5,-6332037.5,-5958502.0,-4558878.5,-4811194.5,-3956559.0,-5143146.0,-4441343.5,-3664977.8,-3756221.0,-3013307.8,-2311916.0,-2734059.5,-1788248.0,-994962.0,-671418.75,-2823444.2,-1498729.2,-840720.94,-0.13503316,-0.097664125,-0.16671519,-1955995.9,-2695313.0,-3791717.8,-2335706.8,-0.2658876,-0.2640197,-0.3224344,-0.37430617,-1734369.6,-0.39391914,-2170054.0,-4395972.5,-4545722.5,-0.49288356,-6158441.0,-0.4775344,-4590669.0,-5420851.5,-0.6735324,-0.8330836,-0.87196517,-0.90329045,-10535752.0,-10069511.0,-10636535.0,-11183002.0,-10257092.0,-9977349.0,-9573672.0,-9835511.0,-9100121.0
-0.81488866,-7246635.0,-7105118.0,-0.7360268,-7451755.0,-0.62893426,-6556737.0,-0.5504449,-5459377.5,-6089110.5,-6169218.5,-5960644.5,-4576844.5,-3825231.5,-3969011.8,-4194572.0,-2496350.8,-2448773.8,-3559031.5,-3045177.5,-3088971.2,-1643711.0,-790089.6,-1048607.8,-819729.56,-0.15803863,-0.11584011,-0.08648064,-0.16407716,-3528677.2,-0.23684005,-0.3831513,-0.2805011,-0.23837519,-0.28531986,-2646129.0,-4846584.5,-4786356.5,-4644386.5,-4607910.0,-4038347.0,-4623193.0,-0.48615924,-5578937.5,-5372119.0,-5905874.5,-6164068.5,-6761027.0,-7050029.5,-8540076.0,-8448964.0,-10298233.0,-9791785.0,-10012833.0,-9669269.0,-10481986.0,-0.97444177,-0.9313943,-10656067.0,-8729798.0
-6178673.5,-0.83623093,-4590724.5,-4646319.5,-0.70407236,-0.66245186,-0.6408557,-2976767.8,-0.5326227,-4257645.5,-3465683.2,-0.42688257,-2474413.2,-0.3663959,-0.37285691,-0.3245358,-416739.38,-0.30695984,-0.27261,-0.29114392,-0.23006856,-0.18878138,-0.17290632,279573.66,-0.19777854,-0.17830703,-0.16466263,-1008155.8,-1651669.6,-2870667.5,-2725720.5,-2540755.5,-2976800.0,-2348627.8,-2019091.4,-2151519.8,-3331258.2,-0.37323365,-2266169.0,-2207631.2,-4566368.5,-2822659.0,-3490345.0,-4223879.5,-2448940.0,-2840073.2,-0.5814513,-0.7185179,-0.8440741,-0.9122922,-0.925098,-8269967.5,-9616954.0,-6222745.0,-0.95926607,-7962540.0,-0.9779369,-6442919.5,-0.9650289,-0.9372685
-0.8666985,-4831888.5,-6239714.5,-0.76452285,-0.6819274,-0.67680967,-0.6398065,-4094713.2,-0.5466867,-4199057.0,-4289146.0,-0.4275158,-0.37645832,-0.37516063,-0.35287008,-0.34534144,-0.3306748,-0.31105375,-0.30565593,-0.2199193,-1848361.2,-2159143.8,-210965.62,-0.17538103,-0.19537468,-439068.5,-0.15611826,-1315042.9,-2988303.0,-1594016.8,-3083099.0,-2206073.0,-1771864.8,-1909444.8,-2658008.8,-2448913.8,-4823486.0,-4036506.5,-3655713.8,-1892156.0,-3293762.5,-0.46090487,-3250631.0,-3510269.5,-3502511.0,-0.5078993,-4736842.5,-5478540.0,-5377934.0,-5581644.0,-7332483.5,-0.9497784,-7761756.0,-0.9622216,-0.9555884,-0.97265595,-7563253.5,-0.9642847,-0.95914143,-7008392.5
-0.86695206,-0.8311131,-0.79579896,-0.7645525,-0.68838084,-5166238.0,-0.62723684,-0.58295447,-0.4906365,-0.48756737,-4233818.5,-0.41597226,-4274317.5,-0.39552745,-0.33419004,-3450447.5,-1604254.9,-1035570.44,-2651650.5,-2894829.5,-0.23734866,-0.20471576,-2298731.5,-2456675.0,-1970591.5,-1951292.5,-0.13494156,-2044325.1,-1857909.4,-1134080.0,-1883077.0,-3362471.0,-3252055.5,-4329648.5,-3268198.0,-1995680.2,-4080698.5,-3573914.8,-0.35692802,-2467956.8,-4632403.5,-0.4740053,-0.46135426,-4358350.0,-4713466.0,-4892091.5,-5847498.5,-6506178.5,-0.83803004,-0.9021913,-8122260.5,-9415241.0,-0.9413062,-9239741.0,-8732632.0,-8202452.0,-0.9527813,-7694835.5,-8122925.0,-9104627.0
